Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
25656,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,1998,169.8,
25657,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,1999,202.8,
25658,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2000,166.6,
25659,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2001,173.4,
25661,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2003,212.4,
25662,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2004,189.1,
25663,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2005,171.2,
25665,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2007,165,
25666,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,1998,102.3,
25667,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,1999,129.3,
25668,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2000,97,
25669,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2001,106,
25671,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2003,120.2,
25672,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2004,105,
25673,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2005,83.9,
25675,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2007,75,
25676,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,1998,126.1,
25677,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,1999,149.4,
25678,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2000,98.7,
25679,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2001,105.6,
